"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2346368.71508379","4301675.97765363","5418994.41340782","5083798.88268156","12603351.9553072","10955307.2625698","5977653.63128491","13217877.094972","10698324.0223463","13491620.1117318","10484445.2051341","14748398.9172834","15418994.4134078","17039106.1452514","15586592.1787709","22234636.8715083","24748603.3519553","22234636.8715083","28033965.2892619","25039812.4837529","25115352.9678507","22090408.469512","13124844.5770209","11257480.5421084","6662704.65490051","7219782.46248859","10162497.4460018","13704228.2673985","19772189.4625318","","",
"Africa Eastern and Southern","AFE","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","799125106.4242","1048803106.9485","1137485449.20187","1292009141.59501","1299869372.97547","1491932851.44694","1684971621.55191","1799314104.36433","1848629713.96995","2068871719.83166","1749077019.81857","1601704006.74641","1739644798.57415","1862404030.85367","2004137734.28783","2092340710.43546","2768514905.71864","3008429869.60742","2911426359.15847","3070876014.41687","",
"Afghanistan","AFG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109445927.847955","119214754.553334","191027169.339322","209492976.121521","124681457.357613","137313518.622133","115737501.699786","82152250.3401322","77926450.1819092","57790520.1879673","73258421.6027471","53748200.2138669","54766062.1944906","","","","","",
"Africa Western and Central","AFW","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539494432.567429","712253030.518646","680563464.721295","748871898.805961","1115196536.13114","1013697707.72447","1205967468.74893","1267123019.81698","1093931017.11951","1047877901.9659","1266181833.45277","1312760792.6601","1282945909.82761","1071501663.59295","1003857316.86406","1196956709.28381","1236342442.71219","","",
"Angola","AGO","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14039000","10726000","","","34012000","35122000","40629829.61","33207031.44","20933695.38","37093889.76","30172000","21658540","24470350","30919540","20680180","12353060","31756270","22333790","34445380","28750304.4956061","",
"Albania","ALB","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7900000","11000000","11400000","15110000","25600000","20900000","31200000","32940000","49106937.4474251","75511153.7426181","74350367.5956804","53794733.7923186","70430000","163488342.800128","161291707.016704","106284123.441558","108251150.127096","156040981.458776","183086084.24397","164437355.451762","112051529.490962","125847930.271853","98718673.0853591","80746258.8037545","108058262.38528","82596607.7851556","114601006.022366","163589531.142992","214420384.757212","239701717.732508","",
"Andorra","AND","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78707564.3808346","86293356.8019219","95306904.4734584","119731616.11091","127542871.534828","132308029.793929","",
"Arab World","ARB","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3682105587.64099","6177803516.64401","7894183926.7274","10862282724.3912","11224517459.6433","8165915839.92292","8539972754.58966","8891420290.208","8660053785.00598","9089382145.77395","8060731156.6553","8218966477.30963","7692846385.31596","10474645963.1869","11869760949.7114","12982517589.2144","12214932463.4584","14272769624.2804","23528023871.6682","24029288201.4282","",
"United Arab Emirates","ARE","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8196051735.87474","8304969366.91627","",
"Argentina","ARG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197100000","230600000","272900000","328300000","375600000","313900000","259285752.455922","245626704.275247","286006166.793532","318912378.199247","242790000","287490000","317530000","407860000","563434578.863044","806872701.809068","1103562433.90219","1187835367.53884","1410136164.45971","1800882627.12601","1754217566.81461","1730267633.66816","1443464924.46563","1473496949.6178","1634172700.71085","2227687569.82782","2240249776.80125","2090386135.03163","1992576764.0114","2360129098.60714","2713843553.02391","2623884068.00634","2702167257.83013","",
